"continent","country","state","country code","state code","Status"
"Africa","Angola","","AO","","Present, no details"
"Africa","Benin","","BJ","","Present, widespread"
"Africa","Botswana","","BW","","Present, no details"
"Africa","Burkina Faso","","BF","","Present, no details"
"Africa","Burundi","","BI","","Present, no details"
"Africa","Cameroon","","CM","","Present, widespread"
"Africa","Central African Republic","","CF","","Present, no details"
"Africa","Congo","","CG","","Present, no details"
"Africa","Congo, The Democratic Republic of the","","CD","","Present, no details"
"Africa","Cote d'Ivoire","","CI","","Present, no details"
"Africa","Egypt","","EG","","Present, widespread"
"Africa","Eswatini","","SZ","","Present, widespread"
"Africa","Ethiopia","","ET","","Present, no details"
"Africa","Gabon","","GA","","Present, no details"
"Africa","Ghana","","GH","","Present, no details"
"Africa","Guinea","","GN","","Present, no details"
"Africa","Kenya","","KE","","Present, widespread"
"Africa","Madagascar","","MG","","Present, widespread"
"Africa","Malawi","","MW","","Present, no details"
"Africa","Mali","","ML","","Present, no details"
"Africa","Mauritius","","MU","","Present, widespread"
"Africa","Mozambique","","MZ","","Present, widespread"
"Africa","Niger","","NE","","Present, no details"
"Africa","Nigeria","","NG","","Present, widespread"
"Africa","Reunion","","RE","","Present, widespread"
"Africa","Rwanda","","RW","","Present, no details"
"Africa","Sao Tome and Principe","","ST","","Present, no details"
"Africa","Senegal","","SN","","Present, no details"
"Africa","Sierra Leone","","SL","","Present, no details"
"Africa","South Africa","","ZA","","Present, widespread"
"Africa","Sudan","","SD","","Present, no details"
"Africa","Tanzania, United Republic of","","TZ","","Present, widespread"
"Africa","Togo","","TG","","Present, no details"
"Africa","Uganda","","UG","","Present, widespread"
"Africa","Zambia","","ZM","","Present, no details"
"Africa","Zimbabwe","","ZW","","Present, widespread"
"America","United States of America","","US","","Absent, invalid record"
"Asia","India","","IN","","Present, no details"
"Asia","Indonesia","","ID","","Present, no details"
"Asia","Philippines","","PH","","Present, no details"
"Asia","Yemen","","YE","","Present, no details"
